,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,CatBoost_BAG_L1,0.6693505568505569,0.7038783531018948,0.015196561813354492,0.020604610443115234,5.094268083572388,0.015196561813354492,0.020604610443115234,5.094268083572388,1,True,7
1,WeightedEnsemble_L2,0.663217106967107,0.7182941782967884,1.6613762378692627,1.0620524883270264,87.9547770023346,0.004621982574462891,0.003429889678955078,3.9996590614318848,2,True,14
2,NeuralNetMXNet_BAG_L1,0.6590148277648278,0.7008573234594375,0.9400758743286133,0.3772616386413574,33.69666910171509,0.9400758743286133,0.3772616386413574,33.69666910171509,1,True,12
3,LightGBM_BAG_L1,0.6576963545713546,0.6840882380488279,0.022298574447631836,0.01893901824951172,1.5655531883239746,0.022298574447631836,0.01893901824951172,1.5655531883239746,1,True,4
4,XGBoost_BAG_L1,0.6487406112406113,0.6901853569607713,0.17266559600830078,0.0785369873046875,2.517491102218628,0.17266559600830078,0.0785369873046875,2.517491102218628,1,True,11
5,LightGBMXT_BAG_L1,0.6438374125874127,0.6939329385499293,0.025265216827392578,0.02057647705078125,2.0058860778808594,0.025265216827392578,0.02057647705078125,2.0058860778808594,1,True,3
6,RandomForestGini_BAG_L1,0.6261266511266511,0.6601864816663199,0.22654485702514648,0.40225720405578613,0.9741072654724121,0.22654485702514648,0.40225720405578613,0.9741072654724121,1,True,5
7,LightGBMLarge_BAG_L1,0.6256143162393162,0.6259393936543879,0.031591176986694336,0.020061969757080078,3.7366886138916016,0.031591176986694336,0.020061969757080078,3.7366886138916016,1,True,13
8,ExtraTreesGini_BAG_L1,0.6242505180005179,0.6528968613661292,0.24171710014343262,0.4172484874725342,0.9495043754577637,0.24171710014343262,0.4172484874725342,0.9495043754577637,1,True,8
9,NeuralNetFastAI_BAG_L1,0.6234524734524735,0.6652496160521738,0.41808056831359863,0.21786069869995117,38.44749879837036,0.41808056831359863,0.21786069869995117,38.44749879837036,1,True,10
10,RandomForestEntr_BAG_L1,0.6168860075110075,0.6532997175695858,0.2250199317932129,0.39632654190063477,1.0489399433135986,0.2250199317932129,0.39632654190063477,1.0489399433135986,1,True,6
11,ExtraTreesEntr_BAG_L1,0.6129977661227661,0.6535483676290149,0.23879504203796387,0.4112815856933594,0.9545249938964844,0.23879504203796387,0.4112815856933594,0.9545249938964844,1,True,9
12,KNeighborsUnif_BAG_L1,0.5332596801346802,0.5021692709282425,0.7923870086669922,1.6708786487579346,0.007963180541992188,0.7923870086669922,1.6708786487579346,0.007963180541992188,1,True,1
13,KNeighborsDist_BAG_L1,0.5322617197617198,0.5016880380315065,0.8060822486877441,1.569591999053955,0.006590127944946289,0.8060822486877441,1.569591999053955,0.006590127944946289,1,True,2
